x y depth yinc xinc strike dip rake slip Sample
96.1055 20.5595 2.1651 5 5 353 60 178 2.1043 2
96.1295 20.5623 6.4952 5 5 353 60 173 2.0053 2
96.1535 20.5650 10.8253 5 5 353 60 173 1.8193 2
96.1774 20.5677 15.1554 5 5 353 60 175 1.6238 2
96.2014 20.5705 19.4856 5 5 353 60 178 1.4424 2
96.2253 20.5732 23.8157 5 5 353 60 179 1.2348 2
96.2493 20.5759 28.1458 5 5 353 60 180 0.9733 2
96.2732 20.5786 32.4760 5 5 353 60 180 0.5678 2
96.0997 20.6042 2.1651 5 5 353 60 180 2.0419 2
96.1237 20.6069 6.4952 5 5 353 60 177 1.9640 2
96.1476 20.6096 10.8253 5 5 353 60 177 1.8223 2
96.1716 20.6124 15.1554 5 5 353 60 -180 1.6598 2
96.1955 20.6151 19.4856 5 5 353 60 -177 1.5010 2
96.2195 20.6178 23.8157 5 5 353 60 -177 1.3110 2
96.2435 20.6205 28.1458 5 5 353 60 -178 1.0433 2
96.2674 20.6233 32.4760 5 5 353 60 -179 0.6101 2
96.0939 20.6488 2.1651 5 5 353 60 -179 2.1187 2
96.1178 20.6515 6.4952 5 5 353 60 180 2.0384 2
96.1418 20.6543 10.8253 5 5 353 60 -178 1.9015 2
96.1658 20.6570 15.1554 5 5 353 60 -175 1.7384 2
96.1897 20.6597 19.4856 5 5 353 60 -173 1.5625 2
96.2137 20.6624 23.8157 5 5 353 60 -173 1.3546 2
96.2376 20.6652 28.1458 5 5 353 60 -175 1.0751 2
96.2616 20.6679 32.4760 5 5 353 60 -177 0.6281 2
